participantId,gender,device,screen width,screen height,pixel ratio,w1 result,w1 first time,w1 last time,w1 relunctance,w2 result,w2 first time,w2 last time,w2 relunctance,bs1 result,bs1 first time,bs1 last time,bs1 relunctance,bs2 result,bs2 first time,bs2 last time,bs2 relunctance,bsm1 result,bsm1 first time,bsm1 last time,bsm1 relunctance,bsm2 result,bsm2 first time,bsm2 last time,bsm2 relunctance,ss1 result,ss1 first time,ss1 last time,ss1 relunctance,ss2 result,ss2 first time,ss2 last time,ss2 relunctance,ssm1 result,ssm1 first time,ssm1 last time,ssm1 relunctance,ssm2 result,ssm2 first time,ssm2 last time,ssm2 relunctance
7557892,male,phone,360,640,3,1,-1512454287661.915,-1512454287661.915,1,0,-1512454354626.14,-1512454354626.14,1,1,-1512454391251.38,-1512454391251.38,1,1,-1512454445344.785,-1512454445344.785,1,0,-1512454446990.83,-1512454446990.83,1,0,-1512454498848.58,-1512454498848.58,1,1,-1512454456164.8,-1512454456164.8,1,1,-1512454550363.635,-1512454550363.635,1,1,-1512454561111.61,-1512454561111.61,1,0,-1512454608959.115,-1512454608959.115,1
9974887,n/a,phone,412,846,3,1,-1512363215286.43,-1512363215286.43,1,1,-1512363235255.095,-1512363235255.095,1,0,-1512363292360.52,-1512363292360.52,1,1,-1512363310224.805,-1512363310224.805,1,1,-1512363322464.265,-1512363322464.265,1,0,-1512363376112.255,-1512363376112.255,1,1,-1512363386908.78,-1512363386908.78,1,1,-1512363383875.875,-1512363383875.875,1,1,-1512363409095.21,-1512363409095.21,1,0,-1512363425051.775,-1512363425051.775,1
4615483,male,phone,375,667,2,1,25325,35051,2,0,67628,67628,1,1,8550,20037,4,0,26494,26494,1,1,8452,16866,3,0,41623,41623,1,1,4913,8771,3,0,13486,13486,1,1,4408,11977,3,1,2270,2270,1
8551131,male,phone,375,667,2,1,21963,21963,1,0,63047,63047,1,1,22803,22803,1,1,48340,48340,1,1,27921,27921,1,0,38888,38888,1,1,20922,20922,1,0,24860,24860,1,1,41807,41807,1,1,25085,25085,1
9143213,na,phone,320,568,2,1,13207,13207,1,0,73033,73033,1,1,12725,12725,1,1,30624,30624,1,1,52052,52052,1,1,31888,31888,1,1,46730,46730,1,1,26888,26888,1,1,15036,15036,1,1,25472,25472,1
0925476,male,phone,412,732,2,1,42994.47000000001,42994.47000000001,1,1,38140.045,38140.045,1,1,18217.79,18217.79,1,0,22750.945,22750.945,1,1,11181.2,11181.2,1,1,11787.015,11787.015,1,1,11359.245,11359.245,1,1,10474.415,10474.415,1,1,8452.580000000002,11900.720000000001,2,1,23128.165000000005,23128.165000000005,1
7126602,male,phone,375,667,2,1,69612,69612,1,1,300745,300745,1,1,20434,20434,1,0,101928,101928,1,1,20052,20052,1,1,19110,19110,1,1,22564,22564,1,1,16446,16446,1,1,32431,32431,1,0,18415,18415,1
7054664,male,phone,414,736,3,1,44917,54299,2,0,87689,87689,1,1,33562,33562,1,0,14732,14732,1,1,28053,28053,1,1,24804,24804,1,1,18580,18580,1,0,22833,34468,2,1,18422,18422,1,1,9233,9233,1
6900702,male,phone,412,732,3,1,-1512379702277.965,-1512379702277.965,1,1,-1512379670000.345,-1512379670000.345,1,1,-1512379760789.61,-1512379760789.61,1,0,-1512379840378.36,-1512379840378.36,1,1,-1512379901501.11,-1512379901501.11,1,1,-1512379913773.285,-1512379913773.285,1,1,-1512379932804.98,-1512379932804.98,1,0,-1512379903535.255,-1512379903535.255,5,1,-1512379973401.51,-1512379973401.51,1,0,-1512380011796.81,-1512380011796.81,1
1602068,male,phone,414,736,3,1,-1512343917428,-1512343917428,1,1,-1512343818425.465,-1512343818425.465,1,1,-1512344151945.165,-1512344151945.165,1,1,-1512344120456.675,-1512344120456.675,1,1,-1512344239212.225,-1512344239212.225,1,1,-1512344272527.8,-1512344272527.8,1,1,-1512344271623.835,-1512344271623.835,1,1,-1512344328340.535,-1512344328340.535,1,1,-1512344303439.025,-1512344303439.025,1,1,-1512344395452.495,-1512344395452.495,1
6902334,female,phone,375,667,2,1,8928,8928,1,1,12404,14502,2,1,15443,15443,1,0,24754,24754,1,1,10504,10504,1,1,11552,11552,1,1,10018,10018,1,1,15101,15101,1,0,19272,19272,1,0,15185,15185,1
